"","name","genre","year","numOfSegments","numOfActs","numOfSpeakers","yearWritten","yearPremiered","yearPrinted","size","averageClustering","density","averagePathLength","averageDegree","diameter","maxDegree","nodes","numConnectedComponents","maxDegreeIds","wikipediaLinkCount"
"11","bulgakov-kabala-svjatosh","",1936,4,4,24,NA,1936,1962,24,0.858252992212391,0.652173913043478,1.34782608695652,15,2,23,"31200.88461538461538460.247078975332129220.04568981742894787990.62162162162162160.11324956376091688011110.65714285714285710.15785605049991422034200.88461538461538460.25780541271582280.02887728213815169611110.65714285714285710.16151809218834837034200.88461538461538460.25780541271582280.02887728213815169612120.67647058823529420.17438388454368292023160.76666666666666670.216532087808803040.00826745718050065820140.718750.18138898887010090.00846979107848673990.62162162162162160.11324956376091688023160.76666666666666670.216532087808803040.00826745718050065820140.718750.18138898887010090.0084697910784867320140.718750.18138898887010090.0084697910784867334200.88461538461538460.25780541271582280.028877282138151696432310.27767630939757530.0699557688688123423160.76666666666666670.216532087808803040.00826745718050065812120.67647058823529420.174383884543682920432310.27767630939757530.0699557688688123412120.67647058823529420.17438388454368292032200.88461538461538460.249978948374347030.04311123658949746990.62162162162162160.11324956376091688023170.79310344827586210.230108051692594430.01389045736871823811110.65714285714285710.15785605049991422011110.65714285714285710.157856050499914220",1,"moler|muarron",4
"12","bulgakov-poloumnyj-zhurden","comedy",1932,3,3,22,1932,NA,1965,22,0.922077922077922,0.844155844155844,1.15584415584416,17.7272727272727,2,21,"382110.24285857513039640.01714285714285714382110.24285857513039640.01714285714285714302110.24285857513039640.01714285714285714382110.24285857513039640.0171428571428571415150.77777777777777780.1848867051413596015150.77777777777777780.18488670514135963015150.77777777777777780.18488670514135963015150.77777777777777780.18488670514135960382110.24285857513039640.0171428571428571423150.77777777777777780.18488670514135960382110.24285857513039640.01714285714285714302110.24285857513039640.0171428571428571423150.77777777777777780.1848867051413596015150.77777777777777780.184886705141359630302110.24285857513039640.0171428571428571415150.77777777777777780.18488670514135963015150.77777777777777780.18488670514135963023150.77777777777777780.1848867051413596015150.77777777777777780.184886705141359630302110.24285857513039640.01714285714285714302110.24285857513039640.0171428571428571423150.77777777777777780.18488670514135960",1,"several characters",2
"13","bulgakov-poslednie-dni","",1943,10,4,36,1935,1943,1955,36,0.844195159558937,0.271428571428571,2.01111111111111,9.5,4,21,"22160.61403508771929830.275966308828983760.031812807393627976550.448717948717948730.035007101206501856028190.68627450980392160.230795399885446120.19940060817964921070.48611111111111110.126060875009527560.000672268907563025318160.57377049180327870.25269754567035050.048207709245771536550.472972972972972970.093508584259328840550.448717948717948730.0350071012065018560660.53030303030303030.093380807373903040880.46052631578947370.10636089977581252027170.6250.282833325348478440.0408324152367652218160.57377049180327870.25269754567035050.048207709245771536880.46052631578947370.106360899775812530880.46052631578947370.106360899775812520550.448717948717948730.0350071012065018560770.472972972972972970.122683765139467810550.448717948717948730.035007101206501856020160.61403508771929830.25727934213718530.08949400574709525880.46052631578947370.10636089977581253010100.52238805970149250.20583221748125220880.46052631578947370.106360899775812530660.53030303030303030.09338080737390304015130.5468750.224205657009843740.043101500026858416150.63636363636363640.25789327608676870.05616072069853584770.472972972972972970.122683765139467810330.393258426966292150.04144626824799894024210.71428571428571430.30475860427586710.23201420977001810100.52238805970149250.2058322174812522014130.59322033898305080.105861377029524110.2065359477124183414100.50724637681159420.167300231618557280.0063754732662295675330.384615384615384640.009971226792577604013120.58333333333333340.185493272207386930.026940444627048678330.384615384615384640.0099712267925776040880.46052631578947370.106360899775812520330.393258426966292150.04144626824799894027170.6250.282833325348478440.04083241523676522330.384615384615384640.0099712267925776040",1,"bogomazov",2
"14","chekhov-chaika","comedy",1896,60,4,12,1895,1896,1896,12,0.918686868686869,0.787878787878788,1.21212121212121,8.66666666666667,2,11,"401110.326843760744286560.0939393939393939341100.91666666666666660.31837326482717260.027272727272727275390.84615384615384610.303838609268105350330.57894736842105270.0867973591930062103190.84615384615384610.30383860926810535041100.91666666666666660.31837326482717260.027272727272727274090.84615384615384610.3038386092681053504690.84615384615384610.3038386092681053504990.84615384615384610.303838609268105350650.64705882352941180.148936416490053850.012121212121212124790.84615384615384610.303838609268105350731110.326843760744286560.09393939393939393",1,"Shamraev|Arkadina",33
"15","chekhov-djadja-vanja","",1897,47,4,10,1896,1897,1897,10,0.802380952380953,0.666666666666667,1.37777777777778,6,3,8,"5970.81818181818181820.356539632970631850.0092592592592592592870.81818181818181820.356539632970631850.0092592592592592593270.81818181818181820.356539632970631850.0092592592592592595180.90.370249690607465260.106481481481481482270.81818181818181820.35653963297063190.009259259259259259110.473684210526315760.0469537025544402803980.90.37024969060746530.10648148148148148320.52941176470588240.1078475205087283104670.81818181818181820.322393494377452740.22222222222222221960.69230769230769230.31555505163832350",1,"Astrov|Sonja",31
"16","chekhov-ivanov","drama",1889,40,4,17,1888,1889,1889,17,0.827228000757413,0.588235294117647,1.45588235294118,9.41176470588235,3,13,"46110.76190476190476190.24834140644295340.07391444203944203770.59259259259259260.17532132415721813027130.84210526315789470.31476420436853020.05447150072150072634110.76190476190476190.26931322925312520.0342105579605579634130.84210526315789470.30883971450794960.0701476070226071140.50.09702427014336891031130.84210526315789470.31476420436853020.0544715007215007262590.69565217391304350.228379975300281230.0194699975949975961580.640.201729692442597360.004629629629629629660.61538461538461540.16045619631670324043110.76190476190476190.26931322925312520.034210557960557961890.66666666666666660.226202693512085220.00935185185185185349130.84210526315789470.302769160717049730.1029503367003367770.59259259259259260.175321324157218130220.50.05266282417525088021120.80.293103145728673130.0402401996151996136110.76190476190476190.28058041875921630.01859848484848485",1,"several characters",10
"17","chekhov-jubilej","comedy",1892,7,1,5,1891,1900,1892,5,0.9,0.9,1.1,3.6,2,4,"13410.47922952259822770.0555555555555555511410.47922952259822770.05555555555555555330.80.394345783552217170930.80.39434578355221717010410.47922952259822770.05555555555555555",1,"Shipuchin|TatjanaAlekseevna|Merchutkina",1
"18","chekhov-leshii","comedy",1889,47,4,13,1889,1889,1890,13,0.935198135198135,0.897435897435897,1.1025641025641,10.7692307692308,2,12,"64110.92307692307692310.27825231322774030.0126262626262626281390.80.23947667728820540591210.29823557402534690.01902356902356902265110.92307692307692310.28479302318739670.00336700336700336761110.92307692307692310.28479302318739670.003367003367003367901210.29823557402534690.019023569023569022660.66666666666666660.161095650672094860711210.29823557402534690.01902356902356902251110.92307692307692310.28479302318739670.003367003367003367611210.29823557402534690.019023569023569022711210.29823557402534690.01902356902356902229100.85714285714285710.2648097623897901057110.92307692307692310.28479302318739670.003367003367003367",1,"several characters",4
"19","chekhov-medved","comedy",1888,11,0,3,1888,1888,1888,3,1,1,1,2,1,2,"9210.577350269189625708210.577350269189625709210.57735026918962570",1,"Luka|Popova|Smirnov",9
"20","chekhov-na-bolshoi-doroge","",1884,5,0,11,1884,NA,1914,11,0.918326118326118,0.854545454545454,1.14545454545455,8.54545454545454,2,10,"880.83333333333333340.29007599965619440440.6250.14407813347548510251010.33258679703309250.043386243386243391780.83333333333333340.27352977494224680.022222222222222223271010.33258679703309250.043386243386243392190.90909090909090910.317920135348088830.0063492063492063491080.83333333333333340.29007599965619440191010.33258679703309250.043386243386243392390.90909090909090910.317920135348088830.0063492063492063492190.90909090909090910.317920135348088830.0063492063492063492190.90909090909090910.317920135348088830.006349206349206349",1,"tihon|bortsov|merik",2
