"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","evgeniya","0.299576627994012","0.212044211343239","0.310773460307474","0.229649728663049","0.265667985394003","0.246135341025527"
"3","dasha","0.195889229293351","0.233949605077044","0.198560057242219","0.195691498108864","0.197566644612018","0.188778010424556"
"5","radugin","0.120973411703724","0.142034572969996","0.0948641208579545","0.140601874691663","0.127400689175562","0.14243551476812"
"7","stolicyn","0.163756607424686","0.178748012867854","0.182069646059568","0.186975826344351","0.202649232710198","0.187913347400139"
"9","ramirskij","0.205832067696003","0.183629786328531","0.202633274907392","0.192238118730472","0.19955798389554","0.192809729585245"
"11","evgenij","0.0139720558882236","0.049593811413336","0.0110994406253928","0.0548429534616017","0.00715746421267894","0.0419280567964134"
