"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","antenor","0.0516453756063347","0.0841561938958707","0.0539686482137527","0.0777888514674548","0.0545396988759818","0.0686620307469899"
"3","enej","0.117302465868343","0.1120960502693","0.106437087334667","0.117774417485738","0.125674160530113","0.122660009503858"
"5","timar","0.0382130949078222","0.0586568671454219","0.0271890281585333","0.0545054642930786","0.0432561203508099","0.056715279125645"
"7","didona","0.404454764361885","0.159055206463196","0.431876389265384","0.216045776342017","0.37885074089417","0.243352318740672"
"9","jarb","0.142602824527282","0.123541292639138","0.132694323851528","0.135232662038628","0.160363695355675","0.143033069411631"
"11","eliza","0.17616324521379","0.201469928186715","0.190304712222414","0.18078562100488","0.142321721121449","0.161538821923126"
"13","arsina","0.0342093956879068","0.0934133752244165","0.0370170569882486","0.0888205374939858","0.0513044419028778","0.084510718612169"
"15","voin","0.0164889851854247","0.066399236983842","0.00940164285436212","0.0568080280431645","0.0316682637321876","0.0593857294880633"
"17","gias","0.0189198486412109","0.101211849192101","0.0111111111111111","0.0722386418310537","0.0120211572367367","0.0601420224478459"
