"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Ivanov","0.0715090410009122","0.087948421226649","0.0784551350813136","0.0879075355234268","0","0.0885575229996953"
"3","Shishkengolm","0.133247928166864","0.125888576624235","0.130750456895336","0.125647292762749","0","0.124447728054386"
"5","Liza","0.145353819708296","0.132087948421227","0.142351383110282","0.13186130328514","0","0.132369872530393"
"7","MinaHristianovna","0.156674364942892","0.138783269961977","0.154424151430562","0.14043663780604","0","0.139944167743693"
"9","Kasimov","0.146240683929977","0.132997189618119","0.144264032208656","0.1322755706533","0","0.131924037559882"
"11","Vihorin","0.121176108848206","0.116630848074062","0.121178668369229","0.117361945399561","0","0.118206038467229"
"13","Kurtsgalop","0.037662050737245","0.0590180195073566","0.0324671332093945","0.0588673930154522","0","0.058902148532615"
"15","Gustav","0.094068001332804","0.103322863283187","0.0980545198476139","0.102821160777166","0","0.102824242056054"
"17","Fritz","0.094068001332804","0.103322863283187","0.0980545198476139","0.102821160777166","0","0.102824242056054"
