"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","zarnitskin","0.11111009061876","0.140277982056185","0.10413921964274","0.144274276602106","0.127076337338577","0.145883117749386"
"3","dashenka","0.24853925541022","0.208819636105656","0.2585779957794","0.210258795388858","0.240212321607914","0.209648382256533"
"5","mitjaj","0.161967518504022","0.197660988207608","0.167321215235846","0.176944287565197","0.169000576057184","0.174811025760057"
"7","mezetskij","0.291224819991219","0.202460569460907","0.308383403652023","0.22591276037341","0.260574729413333","0.232470487408343"
"9","handrina","0.0365321504731144","0.0854234619277922","0.0379912743189315","0.0845819075778213","0.0316537591113081","0.0793614324783031"
"11","knjaginja","0.150626165002664","0.165357362241852","0.123586891371059","0.158027972492608","0.171482276471685","0.157825554347377"
