"","Element","Value.30_SRIC_EX","Value.30_Max","Value.50_SRIC_EX","Value.50_Max","Value.70_SRIC_EX","Value.70_Max"
"1","Alber","0.333333333333333","0.25","0.333333333333333","0.25","0.333333333333333","0.25"
"3","Ivan","0.166666666666667","0.1875","0.166666666666667","0.1875","0.166666666666667","0.1875"
"5","Zhid","0.166666666666667","0.1875","0.166666666666667","0.1875","0.166666666666667","0.1875"
"7","Gertsog","0.166666666666667","0.1875","0.166666666666667","0.1875","0.166666666666667","0.1875"
"9","Baron","0.166666666666667","0.1875","0.166666666666667","0.1875","0.166666666666667","0.1875"
